Cod_Id;varobj;x01;x02;x03;x04;x05;x06;x07;x08;x09;x10;x11;x12;x13;x14;x15;x16;x17;x18;x19;x20;x21;x22;x23;x24;x25;x26;x27;x28;x29;x30;x31;x32;x33;x34;x35;x36;x37;x38;x39;x40
1;419;9;19;20;37;58;56;86;21;22;55;59;37;67;73;21;24;18;44;45;46;58;18;19;25;32;34;44;48;51;21;17;16;20;36;31;33;54;46;42;67
2;407;10;20;18;38;57;49;90;21;19;58;58;32;69;72;19;17;19;43;41;42;58;17;19;20;33;37;35;45;51;17;21;18;19;39;36;36;54;52;50;70
3;438;13;20;20;46;58;53;105;23;21;65;62;32;77;79;17;21;21;40;41;45;59;19;18;20;35;38;39;49;54;17;21;19;25;39;34;44;57;49;59;72
4;430;9;16;22;37;48;63;86;22;24;65;64;44;77;79;16;20;19;38;42;44;55;18;19;20;38;33;35;52;54;19;24;16;21;42;35;36;58;49;47;73
5;408;6;22;19;31;62;53;73;18;21;56;55;38;68;70;19;20;19;42;44;42;59;23;20;19;41;37;34;61;54;19;19;19;21;36;37;38;51;49;58;67
6;419;13;20;20;41;55;57;97;20;20;54;61;34;69;74;19;21;20;42;39;44;57;19;20;23;38;39;41;56;55;18;22;20;16;36;39;31;53;53;46;66
7;406;8;21;21;32;60;57;78;19;19;57;56;34;75;73;19;20;18;41;44;42;57;18;19;17;39;40;29;55;57;19;19;21;17;37;37;30;51;53;41;65
8;424;7;22;21;33;61;59;81;23;24;64;62;35;83;79;20;18;17;40;37;38;58;20;17;19;36;32;33;53;50;18;21;18;20;36;36;41;52;51;56;67
9;392;11;17;18;39;53;55;90;17;15;53;55;27;63;74;22;17;19;43;40;43;57;20;20;19;40;37;31;58;50;20;22;20;19;40;40;30;55;58;45;69
10;402;11;16;20;41;50;55;95;18;20;54;52;33;69;66;19;19;18;41;39;44;56;18;19;21;34;43;38;50;56;21;17;20;19;36;35;37;51;53;49;65
11;416;12;20;17;46;55;51;108;21;20;61;61;33;75;79;20;18;21;41;37;44;57;19;25;18;36;40;30;50;55;18;20;17;18;37;34;31;49;50;42;63
12;391;12;21;15;40;59;42;93;18;20;55;55;30;72;68;21;17;21;42;36;44;57;20;23;17;38;40;31;53;54;19;19;22;17;38;37;35;55;54;46;64
13;391;11;17;20;38;52;51;92;15;22;47;53;39;61;68;22;15;20;42;36;51;56;22;18;20;38;35;34;50;52;21;19;21;20;39;35;34;55;51;49;70
14;406;9;22;21;33;59;58;80;20;20;57;56;32;71;71;18;16;20;39;39;44;56;16;17;16;33;33;29;47;53;20;21;18;19;40;36;37;53;52;52;67
15;416;12;19;19;41;58;55;92;19;20;56;55;32;70;72;18;20;19;42;43;44;56;21;21;18;39;39;34;55;58;19;17;19;22;35;33;36;50;46;50;62
16;404;6;17;20;30;51;55;72;21;22;57;60;37;69;77;19;21;17;41;43;41;58;24;17;21;44;37;38;61;50;19;20;20;18;34;37;32;52;57;49;67
17;396;12;18;16;44;53;46;103;18;20;55;53;32;69;68;16;19;18;42;37;41;59;20;20;21;36;36;36;55;52;18;19;21;18;38;39;32;52;57;47;68
18;411;8;18;18;35;55;55;86;22;19;61;63;32;74;81;17;20;20;42;38;46;55;22;16;17;43;37;31;58;53;19;19;20;20;39;38;38;56;56;54;65
19;393;7;22;18;30;62;52;75;16;17;51;52;30;64;71;22;18;21;45;38;44;61;19;19;19;40;36;34;54;52;17;21;21;21;34;35;39;49;52;55;62
20;414;8;19;21;35;57;57;80;20;19;57;58;33;74;72;19;18;18;41;36;44;59;19;18;19;35;37;33;49;52;21;19;21;20;40;36;36;56;54;50;69
21;416;10;21;20;38;58;54;94;21;20;57;60;34;71;75;16;20;18;39;39;46;58;20;22;18;34;40;34;49;53;19;18;15;20;38;37;37;50;55;56;66
22;417;8;19;22;35;57;58;82;20;19;60;57;34;72;76;20;16;20;41;37;42;59;22;20;18;42;38;37;56;55;21;19;18;17;37;36;34;51;53;51;65
23;425;13;18;20;45;51;57;107;19;21;58;50;35;73;63;21;22;19;42;44;45;56;19;23;21;33;39;38;49;56;15;24;17;23;43;33;38;57;49;52;72
24;408;8;23;20;31;62;56;74;20;15;60;56;27;73;71;18;20;19;39;44;42;55;21;21;18;40;40;34;53;58;17;18;17;18;34;39;33;46;54;47;57
25;406;10;21;21;37;60;57;88;17;19;53;49;34;70;65;19;16;22;38;38;48;53;19;19;19;39;40;35;55;57;18;20;22;23;35;38;35;54;52;50;66
26;407;9;18;19;36;51;56;87;18;25;56;52;42;68;67;20;18;21;41;40;43;59;19;19;19;36;42;35;51;58;19;21;19;19;38;38;35;56;56;51;70
